,Date,Symbol,Open,High,Low,Close,Volume,Close_Prediction
1363,07-06-2005,WIPRO,715.8,739.9,715.7,731.55,886492,694.1078
1364,08-06-2005,WIPRO,708.55,736.6,708.55,734.4,373729,700.53107
1365,09-06-2005,WIPRO,726.2,735.0,725.0,725.9,324505,707.2296
1366,10-06-2005,WIPRO,731.15,739.55,721.1,723.8,451742,703.4339
1367,13-06-2005,WIPRO,724.0,727.9,716.0,721.9,262827,699.4364
1368,14-06-2005,WIPRO,722.0,727.6,716.0,723.25,262175,697.67993
1369,15-06-2005,WIPRO,723.0,737.0,720.0,733.55,524619,697.8006
1370,16-06-2005,WIPRO,725.0,738.0,725.0,734.55,549476,703.992
1371,17-06-2005,WIPRO,682.55,746.0,682.55,743.8,479650,707.97943
1372,20-06-2005,WIPRO,740.0,759.6,740.0,756.55,683305,713.48303
1373,21-06-2005,WIPRO,757.0,769.9,751.0,756.25,757788,723.7127
1374,22-06-2005,WIPRO,756.0,765.0,751.55,759.2,924624,727.8071
1375,23-06-2005,WIPRO,755.0,762.0,752.0,756.55,480538,729.3634
1376,24-06-2005,WIPRO,755.0,756.45,742.3,749.8,590935,728.86194
1377,27-06-2005,WIPRO,749.8,761.0,749.5,754.4,604153,724.18774
1378,28-06-2005,WIPRO,753.0,757.85,736.1,740.65,732126,724.5121
1379,29-06-2005,WIPRO,739.8,758.1,727.0,753.65,861717,718.3417
1380,30-06-2005,WIPRO,737.0,776.0,730.0,766.3,2724172,721.03424
1381,01-07-2005,WIPRO,750.0,760.0,731.3,744.8,643166,732.48254
1382,04-07-2005,WIPRO,749.25,751.4,740.0,746.5,388650,724.641
1383,05-07-2005,WIPRO,755.0,758.0,734.0,736.1,484227,718.414
1384,06-07-2005,WIPRO,745.0,748.0,728.0,735.25,550444,713.1606
1385,07-07-2005,WIPRO,747.0,765.0,700.0,710.5,925277,709.2198
1386,08-07-2005,WIPRO,725.0,737.7,718.0,722.9,516489,695.1352
1387,11-07-2005,WIPRO,736.0,740.0,715.1,716.75,430009,693.81866
1388,12-07-2005,WIPRO,716.0,718.0,696.2,702.35,1039676,694.5135
1389,13-07-2005,WIPRO,703.0,716.7,700.1,709.2,741531,684.47034
1390,14-07-2005,WIPRO,710.0,715.0,695.0,696.25,405334,683.5019
1391,15-07-2005,WIPRO,708.0,708.0,692.1,704.45,381987,678.5879
1392,18-07-2005,WIPRO,708.0,718.0,708.0,711.0,590346,678.8475
1393,19-07-2005,WIPRO,718.8,718.8,710.35,714.55,407828,685.1968
1394,20-07-2005,WIPRO,716.0,722.0,715.05,717.3,275703,689.34076
1395,21-07-2005,WIPRO,722.0,723.0,706.0,711.6,228815,692.04767
1396,22-07-2005,WIPRO,715.0,718.0,690.4,715.3,948474,689.7907
1397,25-07-2005,WIPRO,719.45,719.9,705.0,713.25,657606,689.95667
1398,26-07-2005,WIPRO,705.0,715.2,702.6,708.6,503348,690.04443
1399,27-07-2005,WIPRO,710.0,730.0,705.0,727.85,465290,686.7808
1400,29-07-2005,WIPRO,721.0,745.0,721.0,736.35,719737,695.94305
1401,01-08-2005,WIPRO,730.0,738.0,715.1,723.75,432665,707.0864
1402,02-08-2005,WIPRO,749.5,749.5,720.0,724.2,330155,702.8833
1403,03-08-2005,WIPRO,733.0,739.0,728.0,731.9,494510,698.9447
1404,04-08-2005,WIPRO,737.0,739.0,725.0,731.6,327394,703.3875
1405,05-08-2005,WIPRO,734.0,734.0,720.0,721.75,371204,705.7828
1406,08-08-2005,WIPRO,724.0,724.8,701.65,704.5,516905,700.1887
1407,09-08-2005,WIPRO,714.7,720.0,700.4,716.05,517913,687.32086
1408,10-08-2005,WIPRO,719.8,728.0,714.0,727.65,435498,688.0183
1409,11-08-2005,WIPRO,728.0,735.9,725.0,732.95,411280,698.3076
1410,12-08-2005,WIPRO,732.95,740.0,706.1,714.8,473444,705.1216
1411,16-08-2005,WIPRO,724.8,729.7,715.2,720.5,427612,696.7653
1412,17-08-2005,WIPRO,729.7,747.8,713.5,724.25,422343,693.911
1413,18-08-2005,WIPRO,726.0,731.0,721.25,728.95,431046,697.8924
1414,19-08-2005,WIPRO,730.0,733.9,717.1,720.05,507526,701.7588
1415,22-08-2005,WIPRO,368.5,380.5,360.0,362.55,1028757,698.3606
1416,23-08-2005,WIPRO,367.0,369.0,352.75,356.7,1133847,501.8657
1417,24-08-2005,WIPRO,362.5,362.5,351.0,353.25,669496,387.41473
1418,25-08-2005,WIPRO,354.0,370.6,350.3,367.45,1297491,383.8628
1419,26-08-2005,WIPRO,366.8,369.95,355.15,359.55,818393,390.02014
1420,29-08-2005,WIPRO,362.85,362.85,350.65,351.75,726434,390.3725
1421,30-08-2005,WIPRO,353.0,362.0,353.0,358.95,730134,383.97705
1422,31-08-2005,WIPRO,358.0,365.9,352.2,364.65,794011,385.23627
1423,01-09-2005,WIPRO,369.0,375.0,367.55,372.2,1545872,390.35056
1424,02-09-2005,WIPRO,372.0,376.5,366.35,374.3,1283255,395.9533
1425,05-09-2005,WIPRO,374.3,380.0,370.55,377.45,1247779,399.35443
1426,06-09-2005,WIPRO,378.5,379.9,375.0,378.0,866340,401.6114
1427,08-09-2005,WIPRO,379.9,380.8,372.0,373.25,544085,402.86563
1428,09-09-2005,WIPRO,378.8,378.8,367.55,371.45,648165,400.6092
1429,12-09-2005,WIPRO,375.0,375.9,371.05,372.05,536006,398.22415
